Page,Item,zid,State,City,Address,Lat,Lng,Price,Image,Bedrooms,Bathrooms,lotArea,constructedArea,zipCode,CountyId,taxRate,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,annualHOA,Zone,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days
4,1,28369025,TX,Houston,"2903 Twin Knolls Dr, Humble, TX 77339",30.078297,-95.20365,259990,https://photos.zillowstatic.com/fp/e8291b32c6fcebdcf69009aa5bcb5f1b-p_e.jpg,4,2,8328.672,1810,77339,1090,2.29,1,0,1,0,1983,1,2,1092,$493 annually,,7,0.5,6,1.5,5,0.7,0,0,0
4,2,28378222,TX,Houston,"7918 Battleoak Dr, Houston, TX 77040",29.882824,-95.51153,195000,https://photos.zillowstatic.com/fp/6275f723637bd12805398cf316e9b3d5-p_e.jpg,3,2,7200.468,1161,77040,1090,2.29,1,0,1,0,1980,1,2,1092,$150 annually,,5,1.2,5,2.0,4,2.7,1,64995,1310
4,3,28009066,TX,Houston,"647 Elton St, Houston, TX 77034",29.649565,-95.22902,79000,https://photos.zillowstatic.com/fp/2f8f7ed0f87742af6c5063e6e852621b-p_e.jpg,4,3,8681.508,2253,77034,1090,2.29,0,0,1,0,1960,1,0,1092,,,3,1.3,6,0.9,3,1.2,1,180999,4271
4,4,28091870,TX,Houston,"1919 Reseda Dr, Houston, TX 77062",29.564533,-95.116104,145000,https://photos.zillowstatic.com/fp/820cd0229777e939f2e9539eef977ffd-p_e.jpg,4,2,10201.752,1800,77062,1090,2.29,1,0,1,0,1965,1,2,1092,$200 annually,,5,0.4,5,0.8,6,1.2,1,114999,3042
4,5,28176778,TX,Houston,"12307 Millbanks Dr, Houston, TX 77031",29.645597,-95.547226,124000,https://photos.zillowstatic.com/fp/b0aea17067c3edef249eac4466e7be14-p_e.jpg,3,2,8084.736,1921,77031,1090,2.29,1,1,1,0,1972,1,2,1092,$450 annually,,6,0.2,5,1.2,2,4.1,1,135999,4865
4,6,68418374,TX,Houston,"16911 Suffolk Bridge Ln, Houston, TX 77073",30.013115,-95.42159,270000,https://photos.zillowstatic.com/fp/6809ab545447c4af3d5ad7106ce48004-p_e.jpg,4,3,5749.92,2081,77073,1090,2.29,1,0,1,0,2004,2,2,1092,$350 annually,,999,999.0,999,999.0,999,999.0,0,-10001,28
4,7,84055197,TX,Houston,"7238 Liberty Hall Dr, Houston, TX 77049",29.833508,-95.16432,132000,https://photos.zillowstatic.com/fp/7674ed0bc5cc7b3f767f4d7bd1be9f69-p_e.jpg,3,3,4443.12,2160,77049,1090,2.29,1,0,1,0,2007,2,2,1092,$420 annually,,5,2.6,3,4.6,4,2.9,1,127999,3974
4,8,121113826,TX,Houston,"1743 York Creek Dr, Houston, TX 77014",29.985426,-95.449615,275000,https://photos.zillowstatic.com/fp/a40f2a94677f1b88d87fb076f98dd2c1-p_e.jpg,4,3,4399.56,2330,77014,1090,2.29,1,0,1,0,2012,2,2,1092,$393 annually,,4,1.4,3,1.2,1,2.7,0,-15000,55
4,9,2060323831,TX,Houston,"6203 Russett Elm Ct, Porter, TX 77365",30.094297,-95.18492,260000,https://photos.zillowstatic.com/fp/06ec2526614ca4febd8371f2e177f127-p_e.jpg,3,2,,1494,77365,1090,2.29,1,0,1,0,2022,1,0,1092,"$1,200 annually",,7,2.1,8,2.8,7,3.1,0,0,0
4,10,2060920102,TX,Houston,"3023 Kendrick Springs Ln, Porter, TX 77365",30.094925,-95.18486,290000,https://photos.zillowstatic.com/fp/7a4578523ce4df11cac956b38065d30c-p_e.jpg,3,2,,1682,77365,1090,2.29,1,0,1,0,2022,1,0,1092,"$1,200 annually",,7,2.1,8,2.8,7,3.2,0,-30000,63
4,11,251275751,TX,Houston,"16910 Boston Manor Ln, Houston, TX 77073",30.017061,-95.40637,260000,https://photos.zillowstatic.com/fp/ea9c1256e6e745809226fa8114bdc992-p_e.jpg,3,3,4678.344,2168,77073,1090,2.29,1,0,1,0,2019,2,2,1092,$350 annually,,999,999.0,999,999.0,999,999.0,0,0,1210
4,12,27580155,TX,Houston,"7410 San Lucas Dr, Houston, TX 77083",29.69514,-95.67843,200000,https://photos.zillowstatic.com/fp/54ca3287a29cbb24bfa00e21a2bb33c5-p_e.jpg,4,2,6107.112,1299,77083,2698,2.41,1,0,1,0,1980,1,2,1092,$300 annually,,7,0.5,4,1.1,4,0.8,1,60000,3398
