Page,Item,zid,State,City,Address,Lat,Lng,Price,Image,Bedrooms,Bathrooms,lotArea,constructedArea,zipCode,CountyId,taxRate,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,annualHOA,Zone,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days
5,1,27853531,TX,Houston,"1118 Peddie St, Houston, TX 77009",29.798923,-95.38698,589000,https://photos.zillowstatic.com/fp/b21f254af961e6828c30bf50b88bfb6b-p_e.jpg,2,1,5000.688,1092,77009,1090,2.29,0,0,1,0,1926,1,0,2310,,,8,0.2,6,0.6,5,0.5,0,-39100,47
5,2,28086591,TX,Houston,"5758 Birdwood Rd, Houston, TX 77096",29.682093,-95.49226,639500,https://photos.zillowstatic.com/fp/95f1bd6d41097891442a4d81f2c4012e-p_e.jpg,5,4,9395.892,3417,77096,1090,2.29,1,0,1,0,1970,1,2,2310,$500 annually,,7,0.3,3,0.8,6,1.6,0,-50000,48
5,3,28099822,TX,Houston,"10706 Bordley Dr, Houston, TX 77042",29.751495,-95.56532,669000,https://photos.zillowstatic.com/fp/a83a9ed891df2644e6c04717bbc5fad5-p_e.jpg,4,4,8999.496,3227,77042,1090,2.29,1,0,1,0,1968,2,2,2310,"$1,172 annually",,4,0.3,3,0.3,5,4.6,0,-119100,1306
5,4,70307273,TX,Houston,"17107 Paxston Point Ln, Houston, TX 77095",29.921728,-95.67615,415000,https://photos.zillowstatic.com/fp/9021c1e3a3cfa102eb43138e2f2044fd-p_e.jpg,7,4,7707.0,4433,77095,1090,2.29,1,1,1,1,2005,,0,2310,"$1,140 annually",,7,1.4,8,1.2,5,2.8,1,134900,537
5,5,97645374,TX,Houston,"2509 Riverchase Forest Ct, Kingwood, TX 77345",30.07397,-95.163864,549900,https://photos.zillowstatic.com/fp/4e117a70b1a265fc76e636bf85fd8f8e-p_e.jpg,5,5,8158.788,3624,77345,1090,2.29,1,1,1,0,2009,2,3,2310,$303 annually,,7,0.3,8,1.0,7,2.7,0,0,0
5,6,2060898942,TX,Houston,"1709 Dennis Ave, Houston, TX 77004",,,549990,https://photos.zillowstatic.com/fp/157de563524d4cef1a82ea45c13e89eb-p_e.jpg,3,4,1675.0,2118,77004,1090,2.29,1,0,1,0,2022,3,2,2310,,,999,999.0,999,999.0,999,999.0,0,0,0
5,7,28100279,TX,Houston,"6131 Queensloch Dr, Houston, TX 77096",29.673203,-95.49893,237500,https://photos.zillowstatic.com/fp/6bf4bac8e58d18b8c08c449af5ec55cf-p_e.jpg,4,3,8520.336,2420,77096,1090,2.29,1,0,1,0,1967,1,2,2310,$500 annually,,7,0.2,3,0.3,2,1.8,1,312490,4170
5,8,28203298,TX,Houston,"11806 Cypress Place Dr, Houston, TX 77065",29.946934,-95.58969,549995,https://photos.zillowstatic.com/fp/de58f9d3ba66c83e358864a4bd69b17f-p_e.jpg,4,3,0.969,2787,77065,1090,2.29,1,0,1,0,2001,1,3,2310,,,5,1.6,8,3.9,7,4.0,0,-5,127
5,9,28238232,TX,Houston,"15915 Foxgate Rd, Houston, TX 77079",29.775852,-95.641045,579999,https://photos.zillowstatic.com/fp/b746464f3e687e2508344134539ab262-p_e.jpg,5,4,0.3236,3500,77079,1090,2.29,1,0,1,0,1976,2,4,2310,$810 annually,,5,0.3,7,6.0,7,5.7,0,-30000,17
5,10,97637150,TX,Houston,"8223 Jet Pilot St, Houston, TX 77075",29.633408,-95.272835,575000,https://photos.zillowstatic.com/fp/7ff9946fa71e0cd51d78747dfeeed059-p_e.jpg,4,2,0.5395,2768,77075,1090,2.29,1,0,1,0,2015,1,2,2310,,,9,0.7,2,3.8,3,3.1,0,-25001,183
5,11,125458670,TX,Houston,"4605 Nett St, Houston, TX 77007",29.77181,-95.407555,444900,https://photos.zillowstatic.com/fp/9eb71487c9659ba950ee12b4da1db1b9-p_e.jpg,3,4,1589.94,2380,77007,1090,2.29,1,0,1,0,2019,3,2,2310,,,8,1.1,6,1.8,5,1.7,1,105100,3041
5,12,2062785633,TX,Houston,"911 E 35th St, Houston, TX 77018",29.819944,-95.420586,530000,https://photos.zillowstatic.com/fp/aa46e05aad4f515806f31e6cd1abe204-p_e.jpg,4,4,,2563,77018,1090,2.29,1,0,1,0,2023,3,2,2310,"$1,880 annually",,999,999.0,999,999.0,999,999.0,1,20000,162
5,13,2127408520,TX,Houston,"3570 Noah St, Houston, TX 77021",29.685492,-95.3717,175000,https://photos.zillowstatic.com/fp/17b624955d604fa43e9e230fe7fc0903-p_e.jpg,1,2,0.34435261707989,5160,77021,1090,2.29,1,0,1,0,1952,1,2,2310,,,2,0.3,3,0.6,2,2.5,1,375000,4219
5,14,245766603,TX,Houston,"5009 Inker St, Houston, TX 77007",29.775337,-95.411995,550000,https://photos.zillowstatic.com/fp/47ddb3963ecd3cb7acb20e3683d40024-p_e.jpg,3,3,2500.344,2740,77007,1090,2.29,1,0,1,0,2016,2,2,2310,,,8,0.9,6,1.9,5,2.3,0,0,0
5,15,27740966,TX,Houston,"3409 Polk St, Houston, TX 77003",29.742243,-95.34549,550000,https://photos.zillowstatic.com/fp/163e97265d9f947654d20cee47fc335b-p_e.jpg,7,5,7492.32,900,77003,1090,2.29,0,0,1,0,1930,1,0,2310,,,4,0.7,4,1.4,2,1.1,0,0,0
5,16,27760930,TX,Houston,"1314 Tulane St, Houston, TX 77008",29.794888,-95.40204,599000,https://photos.zillowstatic.com/fp/c16b6ce4b5c351b2a7d3a8c4f93a9a32-p_e.jpg,3,1,6599.34,1488,77008,1090,2.29,1,0,1,0,1930,1,2,2310,,,4,0.4,5,0.7,5,0.6,0,-24000,70
5,17,27788907,TX,Houston,"4000 Driscoll St, Houston, TX 77098",29.736547,-95.40644,2950,https://photos.zillowstatic.com/fp/24d5d25b38cb54b561d6560ba2e596cc-p_e.jpg,3,3,2352.24,2303,77098,1090,2.29,1,0,1,0,1996,2,2,2310,,,5,0.6,9,0.3,5,1.3,1,15000,4334
5,18,27832015,TX,Houston,"2621 Eastman St, Houston, TX 77009",29.811695,-95.38109,575000,https://photos.zillowstatic.com/fp/1f82b3f22ca96409e0dd721b82328fa5-p_e.jpg,3,2,7501.032,1664,77009,1090,2.29,1,0,1,0,1950,1,1,2310,,,6,0.8,5,1.1,5,1.3,0,-25000,217
5,19,27850898,TX,Houston,"2824 Wheeler St, Houston, TX 77004",29.724148,-95.36685,155000,https://photos.zillowstatic.com/fp/3dc6b6058552b9bd087f9ffea24a888c-p_e.jpg,3,3,6298.776,2440,77004,1090,2.29,1,0,1,0,1938,2,2,2310,,,4,0.4,3,2.1,2,0.8,1,395000,5160
5,20,27881141,TX,Houston,"7318 Finch St, Houston, TX 77028",29.828201,-95.29709,550000,https://photos.zillowstatic.com/fp/ea3066d56146cc82ded835314765b388-p_e.jpg,5,3,0.9884,3658,77028,1090,2.29,1,0,1,0,1987,1,2,2310,,,5,0.5,3,2.3,3,1.2,0,0,0
