Page,Item,zid,State,City,Address,Lat,Lng,Price,Image,Bedrooms,Bathrooms,lotArea,constructedArea,zipCode,CountyId,taxRate,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,annualHOA,Zone,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days
5,1,338048623,TX,Houston,"4402 Ibiza Ln, Houston, TX 77045",29.638994,-95.44479,380000,https://photos.zillowstatic.com/fp/200d45d2e16c2fa7b2a7b94cb0e12f54-p_e.jpg,3,3,2657.16,1902,77045,1090,2.29,1,0,1,0,2022,2,2,1596,"$1,100 annually",,2,0.5,4,1.3,2,0.8,0,0,0
5,2,338056133,TX,Houston,"1508 Evelyn St, Houston, TX 77009",29.80258,-95.35332,380000,https://photos.zillowstatic.com/fp/b870011cae9c2f5090984c1e141b8be5-p_e.jpg,3,3,3125,1750,77009,1090,2.29,0,0,1,0,2022,2,0,1596,,,5,0.5,5,1.3,2,1.2,0,0,0
5,3,62586963,TX,Houston,"11102 Bandit Trail Dr, Houston, TX 77095",29.938507,-95.67807,165000,https://photos.zillowstatic.com/fp/257527336fa71de30183c032acf7168d-p_e.jpg,4,3,5959.008,2546,77095,1090,2.29,1,0,1,0,2002,2,2,1596,$850 annually,,7,0.3,9,1.9,8,2,1,215000,3797
5,4,68413981,TX,Houston,"12815 Winding Manor Dr, Houston, TX 77044",29.927929,-95.19341,227900,https://photos.zillowstatic.com/fp/66b5ca4af0b08598aaece281a7f39a21-p_e.jpg,4,3,9313.128,3084,77044,1090,2.29,1,0,1,0,2004,2,3,1596,$926 annually,,5,1.1,5,0.6,4,0.9,1,152100,3858
5,5,70315576,TX,Houston,"17214 Double Lilly Dr, Houston, TX 77095",29.916891,-95.67713,227500,https://photos.zillowstatic.com/fp/edaaf6e7803e4edd1fecbf5301506576-p_e.jpg,3,2,6102.756,2427,77095,1090,2.29,1,0,1,0,2005,1,2,1596,$940 annually,,8,1.7,8,1,5,2.8,1,152500,1517
5,6,28521898,TX,Houston,"3111 Cedar Knolls Dr, Humble, TX 77339",30.054846,-95.208405,307750,https://photos.zillowstatic.com/fp/746817154ebd5ba4a8a32bf135d62c7f-p_e.jpg,3,3,3497.868,2760,77339,1090,2.29,1,0,1,0,1993,2,2,1600,$645 quarterly,,7,0.3,6,0.2,5,1.2,1,73130,2199
5,7,2066407514,TX,Houston,"Blackstone Plan, Kingwood-Royal Brook : Fairway Collection",30.0865,-95.188,345990,https://photos.zillowstatic.com/fp/b12c1a4dc026294079d68ade5514dc9b-p_e.jpg,3,2,,1990,77365,1090,2.29,0,0,0,0,2022,,2,1600,,,7,1.9,8,2.6,7,2.6,1,35000,51
5,8,28334468,TX,Houston,"13415 Jessica Ln, Houston, TX 77069",29.973133,-95.53663,325000,https://photos.zillowstatic.com/fp/7e7226625bb0a5bb545ed04c034b1c8b-p_e.jpg,4,4,8799.12,3244,77069,1090,2.29,1,1,1,0,1989,2,2,1600,$546 annually,,5,1.3,6,2.8,5,1.9,1,56000,1505
5,9,2060892470,TX,Houston,"15406 Bollardpoint Ln, Houston, TX 77053",29.599644,-95.44508,411111,https://photos.zillowstatic.com/fp/72591831b092ce8d0c4bfa70cfaebd1d-p_e.jpg,4,3,4600,2587,77053,1090,2.29,1,0,1,1,2022,2,2,1601,$650 annually,,4,1.4,4,1.4,2,2,0,-30000,12
5,10,337098711,TX,Houston,"5722 Rucio Ln, Houston, TX 77092",29.849997,-95.48997,381300,https://photos.zillowstatic.com/fp/0bd2537f2561eae422efbbeae9cc0c6c-p_e.jpg,3,3,3600,1902,77092,1090,2.29,1,0,1,0,2023,2,2,1601,"$1,100 annually",,2,2.1,2,0.8,2,1.8,0,0,0
5,11,2079102962,TX,Houston,"2004 Millbridge Spring Ln, Houston, TX 77051",29.640715,-95.399254,2000,https://photos.zillowstatic.com/fp/5c0ac8f0d06af926f60ab873afda4c8e-p_e.jpg,3,4,2409,1821,77051,1090,2.29,1,0,1,0,2022,3,2,1602,"$1,200 annually",,3,1.6,3,2.8,3,2.3,1,379475,911
5,12,245766668,TX,Houston,"3514 Marquesa Ln, Houston, TX 77084",29.822968,-95.68707,390000,https://photos.zillowstatic.com/fp/4a4ff6b97618caaa93151efb6396828b-p_e.jpg,5,4,5771.7,2856,77084,1090,2.29,1,0,1,0,2018,2,2,1604,$385 annually,,6,0.2,6,1.2,6,1.2,0,-8000,47
