Lat,Lng,Price,Bedrooms,Bathrooms,constructedArea,zipCode,CountyId,taxRate,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT,avgSchoolRating,avgSchoolDist
29.6036,-95.485405,276000,3.0,2,3612.0,77489,2698,2.41,1,0,1,0,1971.0,2.0,2,6.0,0.5,3,1.3,2,1.1,1,31000,1213,8764.272,3.6666666666666665,0.9666666666666668
29.600388,-95.48821,220000,3.0,2,1270.0,77489,2698,2.41,1,0,1,0,1972.0,1.0,1,6.0,0.3,3,1.3,2,1.0,1,65100,503,7884.36,3.6666666666666665,0.8666666666666667
29.595436,-95.48588,230000,4.0,2,1765.0,77489,2698,2.41,1,0,1,0,1974.0,1.0,2,6.0,0.3,3,1.0,2,0.6,1,115275,5140,7148.196,3.6666666666666665,0.6333333333333333
29.59732,-95.49269,225000,3.0,2,1444.0,77489,2698,2.41,1,0,1,0,1978.0,1.0,2,6.0,0.1,3,1.4,2,1.0,1,56000,824,7731.9,3.6666666666666665,0.8333333333333334
29.59206,-95.48905,246500,3.0,2,1738.0,77489,2698,2.41,1,0,1,0,1978.0,1.0,2,6.0,0.3,3,1.0,2,0.6,1,41500,6810,8062.956,3.6666666666666665,0.6333333333333333
29.595455,-95.501175,210000,2.0,2,1246.0,77489,2698,2.41,1,0,1,0,1981.0,1.0,2,6.0,0.6,3,1.8,2,1.3,1,83001,1419,6821.496,3.6666666666666665,1.2333333333333334
29.60081,-95.477715,212000,3.0,2,1357.0,77489,2698,2.41,1,0,1,0,1979.0,1.0,2,6.0,0.9,3,0.9,2,1.0,0,-3000,20,8398.368,3.6666666666666665,0.9333333333333332
29.601322,-95.50111,290000,4.0,3,1831.0,77489,2698,2.41,1,0,1,0,1999.0,2.0,2,6.0,0.7,3,2.0,2,1.5,1,2050,151,5018.112,3.6666666666666665,1.4000000000000001
29.593716,-95.47072,203000,3.0,3,1562.0,77053,2698,2.41,1,0,1,0,1983.0,2.0,1,6.0,0.4,3,0.5,2,0.9,1,164000,5019,4199.184,3.6666666666666665,0.6
29.68377,-95.677864,298500,4.0,3,2463.0,77083,2698,2.41,1,0,1,0,1992.0,2.0,2,6.0,0.5,4,0.4,4,1.5,0,-6500,158,8698.932,4.666666666666667,0.7999999999999999
29.677292,-95.63611,264990,4.0,2,1619.0,77083,2698,2.41,1,0,1,0,1982.0,1.0,2,6.0,0.5,4,2.4,6,2.2,0,0,104,8293.824,5.333333333333333,1.7
29.598225,-95.46818,249990,3.0,2,1961.0,77053,2698,2.41,1,0,1,0,1964.0,1.0,4,6.0,0.5,3,0.8,2,1.1,0,0,0,7440.048,3.6666666666666665,0.8000000000000002
29.698608,-95.6696,259000,3.0,2,1581.0,77083,2698,2.41,1,0,1,0,1981.0,1.0,2,7.0,0.6,4,1.3,4,1.1,0,-6000,28,7440.048,5.0,1.0
