Lat,Lng,Price,Bedrooms,Bathrooms,constructedArea,zipCode,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT
29.6036,-95.485405,276000,3,2,3612,77489,1,0,1,0,1971,2,2,1159,6,0.5,3,1.3,2,1.1,1,31000,1213,8764.272
29.600388,-95.48821,220000,3,2,1270,77489,1,0,1,0,1972,1,1,924,6,0.3,3,1.3,2,1.0,1,65100,503,7884.36
29.595436,-95.48588,230000,4,2,1765,77489,1,0,1,0,1974,1,2,966,6,0.3,3,1.0,2,0.6,1,115275,5140,7148.196
29.59732,-95.49269,225000,3,2,1444,77489,1,0,1,0,1978,1,2,945,6,0.1,3,1.4,2,1.0,1,56000,824,7731.9
29.59206,-95.48905,246500,3,2,1738,77489,1,0,1,0,1978,1,2,1035,6,0.3,3,1.0,2,0.6,1,41500,6810,8062.956
29.595455,-95.501175,210000,2,2,1246,77489,1,0,1,0,1981,1,2,882,6,0.6,3,1.8,2,1.3,1,83001,1419,6821.496
29.60081,-95.477715,212000,3,2,1357,77489,1,0,1,0,1979,1,2,890,6,0.9,3,0.9,2,1.0,0,-3000,20,8398.368
29.601322,-95.50111,290000,4,3,1831,77489,1,0,1,0,1999,2,2,1218,6,0.7,3,2.0,2,1.5,1,2050,151,5018.112
29.593716,-95.47072,203000,3,3,1562,77053,1,0,1,0,1983,2,1,853,6,0.4,3,0.5,2,0.9,1,164000,5019,4199.184
29.68377,-95.677864,298500,4,3,2463,77083,1,0,1,0,1992,2,2,1254,6,0.5,4,0.4,4,1.5,0,-6500,158,8698.932
29.677292,-95.63611,264990,4,2,1619,77083,1,0,1,0,1982,1,2,1113,6,0.5,4,2.4,6,2.2,0,0,104,8293.824
29.598225,-95.46818,249990,3,2,1961,77053,1,0,1,0,1964,1,4,1050,6,0.5,3,0.8,2,1.1,0,0,0,7440.048
29.698608,-95.6696,259000,3,2,1581,77083,1,0,1,0,1981,1,2,1088,7,0.6,4,1.3,4,1.1,0,-6000,28,7440.048
