zid,Address,Lat,Lng,Price,Image,Bedrooms,Bathrooms,lotArea,constructedArea,zipCode,CountyId,taxRate,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,annualHOA,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT
28375002,"8315 Enchanted Forest Dr, Houston, TX 77088",29.88962,-95.475,129900.0,https://photos.zillowstatic.com/fp/e6e94b579a3f8b376c68fc1e1afd0e93-p_e.jpg,3.0,2,0.2617,1969.0,77088,1090,2.29,1,0,1,0,1982.0,1.0,2,995,$300 annually,4.0,0.8,4,0.6,2,5.0,1,107100,2432,11399.652
84026428,"415 Remington Bend Ct, Houston, TX 77073",29.971046,-95.41435,250000.0,https://photos.zillowstatic.com/fp/776702db8982f0e2174f80fba09a76c0-p_e.jpg,3.0,3,4159.98,1862.0,77073,1090,2.29,1,0,1,0,2007.0,2.0,2,995,$570 annually,5.0,0.7,2,6.0,1,3.0,0,-13000,49,4159.98
161439469,"9927 Dawson Hill Ln, Houston, TX 77044",29.867525,-95.19399,242500.0,https://photos.zillowstatic.com/fp/37aa03a7968c51bdfe8d71eca039cb5f-p_e.jpg,3.0,2,4599.936,1197.0,77044,1090,2.29,1,0,1,0,2016.0,1.0,2,998,$450 monthly,3.0,0.8,3,1.8,4,1.4,0,-5000,23,4599.936
27810678,"8403 Harmony Rd, Houston, TX 77049",29.847113,-95.16284,,https://photos.zillowstatic.com/fp/5b16bf31e0e294aa41a0ff9a9d7d4f12-p_e.jpg,2.0,1,0.57,1260.0,77049,1090,2.29,1,0,1,0,1976.0,1.0,1,998,,5.0,2.1,3,4.1,4,2.8,0,0,1329,24829.199999999997
80561464,"2651 Skyview Ridge Ct, Houston, TX 77047",29.619267,-95.382286,279900.0,https://photos.zillowstatic.com/fp/9523abed185641b3ee3b4dce1ef5189e-p_e.jpg,3.0,3,4190.472,1993.0,77047,1090,2.29,1,0,1,0,2006.0,2.0,1,999,$420 annually,3.0,1.2,2,3.3,3,2.6,0,-42000,70,4190.472
2061573385,"16751 Rover Ln, Porter, TX 77365",,,262830.0,https://photos.zillowstatic.com/fp/54633dd323f6a4edfaa0420f0ef352e2-p_e.jpg,3.0,2,,1349.0,77365,1090,2.29,1,0,1,0,2022.0,1.0,2,1000,$650 annually,7.0,1.7,8,2.5,7,3.0,0,-24840,97,
27583170,"7503 Sorbete Dr, Houston, TX 77083",29.692587,-95.68385,82500.0,https://photos.zillowstatic.com/fp/50880e0093390659edf2e3a9442aaa2b-p_e.jpg,3.0,2,8032.464,1432.0,77083,2698,2.41,1,0,1,0,1983.0,1.0,1,1000,$330 annually,5.0,0.2,7,2.9,4,0.8,1,155500,3805,8032.464
28247128,"2247 Middle Creek Dr, Humble, TX 77339",30.06405,-95.212074,238000.0,https://photos.zillowstatic.com/fp/8c6f093ebf783cb917e208792ace02f8-p_e.jpg,3.0,2,8799.12,1821.0,77339,1090,2.29,1,0,1,0,1977.0,1.0,2,1000,$400 annually,5.0,0.3,6,0.5,5,0.5,0,0,0,8799.12
2061360005,"7923 Bonaire St, Houston, TX 77028",29.81101,-95.283554,238500.0,https://photos.zillowstatic.com/fp/dca7dd22d56542c16ce8620c12ced9fe-p_e.jpg,3.0,3,2799.0,1491.0,77028,1090,2.29,1,0,1,0,2022.0,2.0,1,1002,,3.0,0.5,3,2.9,3,2.1,0,0,8,2799.0
27774628,"7925 Bonaire St, Houston, TX 77028",29.81128,-95.28344,238500.0,https://photos.zillowstatic.com/fp/ff9cb81f59c53bd8e20e9e3544030cb4-p_e.jpg,3.0,3,8398.368,1491.0,77028,1090,2.29,1,0,1,0,2022.0,2.0,1,1002,,3.0,0.5,3,2.9,3,2.1,0,0,0,8398.368
