zid,Lat,Lng,Price,Bedrooms,Bathrooms,constructedArea,zipCode,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days,lotAreaSQFT,Address,lotArea,Image,CountyId,taxRate,annualHOA
27541924,29.6036,-95.485405,276000,3,2,3612,77489,1,0,1,0,1971,2,2,1159,6,0.5,3,1.3,2,1.1,1,31000,1213,8764.272,"6602 Indian Lake Dr, Missouri City, TX 77489",8764.272,https://photos.zillowstatic.com/fp/bc5a71962268b99fb9229ceddd89e96b-p_e.jpg,2698,2.41,$400 annually
27542111,29.600388,-95.48821,220000,3,2,1270,77489,1,0,1,0,1972,1,1,924,6,0.3,3,1.3,2,1,1,65100,503,7884.36,"6727 Castleview Ln, Missouri City, TX 77489",7884.36,https://photos.zillowstatic.com/fp/1336380a8376b2a1c983bc78f2e75cb4-p_e.jpg,2698,2.41,$144 annually
27542455,29.595436,-95.48588,230000,4,2,1765,77489,1,0,1,0,1974,1,2,966,6,0.3,3,1,2,0.6,1,115275,5140,7148.196,"15902 Ridgerock Rd, Missouri City, TX 77489",7148.196,https://photos.zillowstatic.com/fp/5603ce32232edf5909a03a3169f0d9af-p_e.jpg,2698,2.41,$250 annually
27542890,29.59732,-95.49269,225000,3,2,1444,77489,1,0,1,0,1978,1,2,945,6,0.1,3,1.4,2,1,1,56000,824,7731.9,"15806 Blueridge Rd, Missouri City, TX 77489",7731.9,https://photos.zillowstatic.com/fp/4d5e3792d33fe0c7180e94a375f4765b-p_e.jpg,2698,2.41,
27543383,29.59206,-95.48905,246500,3,2,1738,77489,1,0,1,0,1978,1,2,1035,6,0.3,3,1,2,0.6,1,41500,6810,8062.956,"6919 Rockergate Dr, Missouri City, TX 77489",8062.956,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.592060089111328,-95.48905181884766&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=rQOyDlU3qKdmjIIydFVsyf7SY-A=",2698,2.41,$144 annually
27543748,29.595455,-95.501175,210000,2,2,1246,77489,1,0,1,0,1981,1,2,882,6,0.6,3,1.8,2,1.3,1,83001,1419,6821.496,"15838 Gatebriar Dr, Missouri City, TX 77489",6821.496,https://photos.zillowstatic.com/fp/02164168ee6b2cee83b4b3d888950d4f-p_e.jpg,2698,2.41,$150 annually
27543979,29.60081,-95.477715,212000,3,2,1357,77489,1,0,1,0,1979,1,2,890,6,0.9,3,0.9,2,1,0,-3000,20,8398.368,"6210 Briar Seasons Dr, Missouri City, TX 77489",8398.368,https://photos.zillowstatic.com/fp/299a15e53d7d44eee0c79a41de4f51ff-p_e.jpg,2698,2.41,$144 annually
27544131,29.601322,-95.50111,290000,4,3,1831,77489,1,0,1,0,1999,2,2,1218,6,0.7,3,2,2,1.5,1,2050,151,5018.112,"15518 Appleridge Dr, Missouri City, TX 77489",5018.112,https://photos.zillowstatic.com/fp/4117c6c7a26010ec5a70e067ed14f3e6-p_e.jpg,2698,2.41,$150 annually
27544890,29.593716,-95.47072,203000,3,3,1562,77053,1,0,1,0,1983,2,1,853,6,0.4,3,0.5,2,0.9,1,164000,5019,4199.184,"5627 Gineridge Dr, Houston, TX 77053",4199.184,https://photos.zillowstatic.com/fp/d6084679f0be629007fac57de38738dd-p_e.jpg,2698,2.41,$212 annually
27545693,29.68377,-95.677864,298500,4,3,2463,77083,1,0,1,0,1992,2,2,1254,6,0.5,4,0.4,4,1.5,0,-6500,158,8698.932,"16731 Sussex Dr, Houston, TX 77083",8698.932,https://photos.zillowstatic.com/fp/91948f0675506eec235bed3e0e68059d-p_e.jpg,2698,2.41,$250 annually
27554059,29.677292,-95.63611,264990,4,2,1619,77083,1,0,1,0,1982,1,2,1113,6,0.5,4,2.4,6,2.2,0,0,104,8293.824,"14218 Whitecross Dr, Houston, TX 77083",8293.824,https://photos.zillowstatic.com/fp/139e0e51dd07562cebd191cadbc81f6f-p_e.jpg,2698,2.41,
27574751,29.598225,-95.46818,249990,3,2,1961,77053,1,0,1,0,1964,1,4,1050,6,0.5,3,0.8,2,1.1,0,0,0,7440.048,"5602 Mackinaw Rd, Houston, TX 77053",7440.048,https://photos.zillowstatic.com/fp/13f472bdce33acb812e811e142a7818a-p_e.jpg,2698,2.41,
27578613,29.698608,-95.6696,259000,3,2,1581,77083,1,0,1,0,1981,1,2,1088,7,0.6,4,1.3,4,1.1,0,-6000,28,7440.048,"7127 Camino Verde Dr, Houston, TX 77083",7440.048,https://photos.zillowstatic.com/fp/d0ef824e8edde3e5ce03f0935cb823bb-p_e.jpg,2698,2.41,$220 annually
27578806,29.69487,-95.65991,270000,4,3,2169,77083,1,0,1,0,1977,1,2,1134,7,0.8,4,1.4,4,1.7,1,160100,2926,7213.536,"15519 Empanada Dr, Houston, TX 77083",7213.536,https://photos.zillowstatic.com/fp/9cf567ec2096cbc7199902b6b700d637-p_e.jpg,1090,2.29,
27578897,29.697227,-95.66432,274900,3,2,1828,77083,1,0,1,0,1978,1,2,1155,7,0.7,4,1.4,4,1.4,0,-11000,20,8359.164,"7203 Addicks Clodine Rd, Houston, TX 77083",8359.164,https://photos.zillowstatic.com/fp/80f5a789c5d1f0e448eda33800a53b17-p_e.jpg,2698,2.41,
27579034,29.69247,-95.661156,269900,3,2,1510,77083,1,1,1,0,1982,1,2,1134,7,0.7,4,1.3,4,1.7,1,268550,5226,7178.688,"15627 Rio Del Sol Dr, Houston, TX 77083",7178.688,https://photos.zillowstatic.com/fp/7ad08680e00980fe0c5ce254f96c0d34-p_e.jpg,2698,2.41,$240 annually
27579361,29.694838,-95.664986,239000,2,2,1471,77083,1,0,1,0,1982,1,2,1004,7,0.6,4,1.2,4,1.5,0,0,0,5719.428,"7411 Marisol Dr, Houston, TX 77083",5719.428,https://photos.zillowstatic.com/fp/2eb10381dca96d323c45181c54a671aa-p_e.jpg,2698,2.41,$350 annually
27579771,29.692324,-95.673325,275900,3,2,1294,77083,1,0,1,0,1979,1,2,1159,7,0.2,4,0.9,4,1.1,1,900,2,6612.408,"16259 Camino Del Sol Dr, Houston, TX 77083",6612.408,https://photos.zillowstatic.com/fp/a37696be3ec3af2be695b5185fe533ce-p_e.jpg,2698,2.41,$500 annually
27580125,29.694546,-95.6776,214999,4,2,1247,77083,0,0,1,0,1980,1,0,903,7,0.4,4,1.1,4,0.9,1,79999,2167,6050.484,"7426 Mesones Dr, Houston, TX 77083",6050.484,https://photos.zillowstatic.com/fp/bedee54bf6740a7bac7ef2af644b4def-p_e.jpg,2698,2.41,$550 annually
27580155,29.69514,-95.67843,260000,4,2,1299,77083,1,0,1,0,1980,1,2,1092,7,0.5,4,1.1,4,0.8,1,60000,3398,6107.112,"7410 San Lucas Dr, Houston, TX 77083",6107.112,https://photos.zillowstatic.com/fp/54ca3287a29cbb24bfa00e21a2bb33c5-p_e.jpg,2698,2.41,$300 annually
27580223,29.700472,-95.671394,259000,4,2,1905,77083,1,0,1,0,1982,1,2,1088,5,1,7,3.7,4,0.9,0,0,6858,6006.924,"7011 Zapata Dr, Houston, TX 77083",6006.924,https://photos.zillowstatic.com/fp/3109285066b4902038c7275a3978529d-p_e.jpg,2698,2.41,$425 annually
27580304,29.689997,-95.66081,260000,3,2,1818,77083,1,0,1,0,1982,1,2,1092,7,0.7,4,1.2,4,1.8,0,0,13201,8167.5,"8026 Suspiro Dr, Houston, TX 77083",8167.5,https://photos.zillowstatic.com/fp/b49f0960eff78165e22e8606035830a2-p_e.jpg,2698,2.41,$400 annually
27580588,29.687695,-95.670456,245000,3,2,1244,77083,1,0,1,0,1982,1,2,1029,6,0.3,4,0.7,4,1.5,1,165100,4629,5018.112,"16143 Barbarossa Dr, Houston, TX 77083",5018.112,https://photos.zillowstatic.com/fp/e56afa8b6368e4cc9dc5f7c5dc9b8fc9-p_e.jpg,2698,2.41,$408 annually
27581127,29.68735,-95.6543,285000,3,3,2072,77083,1,0,1,0,1982,2,2,1197,6,1,4,1.4,4,2.3,1,165500,4378,5627.952,"8138 Solana Dr, Houston, TX 77083",5627.952,https://photos.zillowstatic.com/fp/36f3f6618ebc033329121ec72bf07bf0-p_e.jpg,2698,2.41,$400 annually
