Price,Bedrooms,Bathrooms,constructedArea,zipCode,yearBuilt,lotAreaSQFT,avgSchoolRating,avgSchoolDist
276000,3.0,2,3612.0,77489,1971.0,8764.272,3.6666666666666665,0.9666666666666668
220000,3.0,2,1270.0,77489,1972.0,7884.36,3.6666666666666665,0.8666666666666667
230000,4.0,2,1765.0,77489,1974.0,7148.196,3.6666666666666665,0.6333333333333333
225000,3.0,2,1444.0,77489,1978.0,7731.9,3.6666666666666665,0.8333333333333334
246500,3.0,2,1738.0,77489,1978.0,8062.956,3.6666666666666665,0.6333333333333333
210000,2.0,2,1246.0,77489,1981.0,6821.496,3.6666666666666665,1.2333333333333334
212000,3.0,2,1357.0,77489,1979.0,8398.368,3.6666666666666665,0.9333333333333332
290000,4.0,3,1831.0,77489,1999.0,5018.112,3.6666666666666665,1.4
203000,3.0,3,1562.0,77053,1983.0,4199.184,3.6666666666666665,0.6
298500,4.0,3,2463.0,77083,1992.0,8698.932,4.666666666666667,0.7999999999999999
264990,4.0,2,1619.0,77083,1982.0,8293.824,5.333333333333333,1.7
249990,3.0,2,1961.0,77053,1964.0,7440.048,3.6666666666666665,0.8000000000000002
259000,3.0,2,1581.0,77083,1981.0,7440.048,5.0,1.0
270000,4.0,3,2169.0,77083,1977.0,7213.536,5.0,1.3
274900,3.0,2,1828.0,77083,1978.0,8359.164,5.0,1.1666666666666663
269900,3.0,2,1510.0,77083,1982.0,7178.688,5.0,1.2333333333333334
239000,2.0,2,1471.0,77083,1982.0,5719.428,5.0,1.1
275900,3.0,2,1294.0,77083,1979.0,6612.408,5.0,0.7333333333333334
214999,4.0,2,1247.0,77083,1980.0,6050.484,5.0,0.7999999999999999
260000,4.0,2,1299.0,77083,1980.0,6107.112,5.0,0.8000000000000002
259000,4.0,2,1905.0,77083,1982.0,6006.924,5.333333333333333,1.866666666666667
260000,3.0,2,1818.0,77083,1982.0,8167.5,5.0,1.2333333333333334
245000,3.0,2,1244.0,77083,1982.0,5018.112,4.666666666666667,0.8333333333333334
285000,3.0,3,2072.0,77083,1982.0,5627.952,4.666666666666667,1.5666666666666664
318900,4.0,3,3312.0,77083,1997.0,6507.864,4.666666666666667,0.7333333333333334
240000,3.0,2,1226.0,77083,1981.0,6991.38,5.333333333333333,1.3
238000,3.0,2,1432.0,77083,1983.0,8032.464,5.333333333333333,1.3
209000,3.0,2,1464.0,77083,1983.0,5675.868,5.333333333333333,1.4666666666666668
295970,4.0,2,2243.0,77083,1982.0,7710.12,5.333333333333333,1.9
345000,4.0,2,2045.0,77083,1982.0,8820.9,5.0,1.4666666666666668
335000,4.0,3,2564.0,77083,1987.0,8377.0,5.333333333333333,1.6333333333333335
264900,3.0,2,1570.0,77489,1979.0,6525.288,2.6666666666666665,2.466666666666667
209000,3.0,4,1570.0,77489,1979.0,6229.08,2.6666666666666665,2.4333333333333336
247995,3.0,2,1550.0,77489,1979.0,6451.236,2.6666666666666665,2.466666666666667
280000,4.0,3,2836.0,77489,1978.0,7200.468,4.0,1.7666666666666666
250000,4.0,3,2296.0,77489,1979.0,6298.776,3.6666666666666665,1.5666666666666664
249900,3.0,2,1918.0,77053,1978.0,9818.424,3.6666666666666665,0.7000000000000001
232000,3.0,2,1876.0,77053,1978.0,7074.144,3.6666666666666665,0.5
210000,4.0,2,1252.0,77053,1972.0,6912.972,2.333333333333333,1.0
227500,3.0,2,1081.0,77053,1972.0,6660.324,2.333333333333333,0.9333333333333332
200000,4.0,2,1418.0,77053,2006.0,5523.408,2.333333333333333,1.2333333333333334
229000,3.0,2,1322.0,77053,1972.0,4639.14,2.333333333333333,1.2333333333333334
279900,3.0,1,1496.0,77003,1917.0,5000.688,3.0,1.7666666666666666
550000,7.0,5,900.0,77003,1930.0,7492.32,3.333333333333333,1.0666666666666669
399000,3.0,2,1670.0,77009,1910.0,5000.688,4.0,0.5
299000,2.0,1,2158.627875809694,77009,1915.0,7775.7013398033405,5.0,0.4333333333333333
299000,4.0,2,888.0,77009,1910.0,5000.688,5.0,0.4333333333333333
245000,2.0,2,1104.0,77009,1940.0,4499.748,5.0,0.2333333333333333
295000,1.0,1,984.0,77009,1940.0,5253.336,4.0,0.1666666666666666
320000,4.0,3,2248.0,77009,1940.0,5000.688,5.0,0.2
449000,3.0,3,1665.0,77009,1910.0,4499.748,5.0,0.3999999999999999
285000,2.0,1,988.0,77009,1925.0,3349.764,5.0,0.2666666666666666
364900,3.0,3,1830.0,77020,2022.0,2500.0,4.0,0.4666666666666666
250000,4.0,1,1353.0,77039,1966.0,43560.0,999.0,999.0
325000,3.0,2,1272.0,77039,1967.0,19475.676,999.0,999.0
629000,3.0,2,2348.0,77007,1906.0,3750.516,5.666666666666667,1.2666666666666666
578888,2.0,2,1316.0,77007,1890.0,5000.688,5.666666666666667,1.3333333333333333
600000,4.0,4,4499.0,77007,1888.0,5000.688,5.666666666666667,1.4
730000,2.0,1,1236.0,77007,1950.0,7130.772,6.333333333333333,1.7
618000,3.0,4,2630.0,77007,2007.0,1900.0,6.333333333333333,1.6333333333333335
419900,3.0,2,1317.0,77007,1925.0,5100.876,6.333333333333333,1.4666666666666668
449999,3.0,4,1858.0,77020,2023.0,1450.548,2.333333333333333,0.8666666666666667
475000,3.0,2,1534.0,77004,2022.0,3798.432,3.0,0.9666666666666668
220000,4.0,1,1064.0,77026,1925.0,4700.124,4.0,0.3333333333333333
350000,3.0,2,2048.0,77009,1915.0,6512.22,4.0,0.3666666666666667
245000,3.0,1,1382.0,77009,1925.0,4647.852,4.0,0.3333333333333333
275000,4.0,3,1960.0,77009,1910.0,4647.852,4.0,0.3333333333333333
700000,3.0,2,1742.0,77006,1915.0,3898.62,999.0,999.0
461700,2.0,1,2158.627875809694,77006,1915.0,3898.62,999.0,999.0
524999,3.0,3,2555.0,77020,2022.0,4399.56,4.0,1.0
379000,3.0,4,1942.0,77020,2022.0,7775.7013398033405,4.0,0.9666666666666668
299900,6.0,4,2850.0,77020,1930.0,11000.00002068,4.0,0.9666666666666668
225000,3.0,2,1566.0,77038,1979.0,3750.516,999.0,999.0
475000,0.0,1,1363.0,77021,1940.0,7048.008,4.333333333333333,2.3666666666666667
399950,1.0,2,784.0,77007,1933.0,5349.168,6.333333333333333,1.6666666666666667
419000,3.0,2,1032.0,77007,1940.0,5350.0,4.333333333333333,1.7666666666666666
639000,3.0,4,2266.0,77007,2022.0,2687.0,5.666666666666667,1.8333333333333333
399000,2.0,1,1498.0,77009,1950.0,5000.688,5.333333333333333,1.0
240000,3.0,2,1044.0,77020,1950.0,4626.072,3.6666666666666665,0.6
295000,2.0,1,1022.0,77023,1940.0,5401.44,4.0,0.5666666666666667
599000,3.0,2,1435.0,77008,1930.0,4782.888,6.0,0.5
364900,3.0,2,1550.0,77023,1948.0,5349.168,3.333333333333333,0.4333333333333333
435000,1.0,1,932.0,77023,1950.0,8250.264,3.333333333333333,0.4333333333333333
409000,3.0,2,1405.0,77003,1930.0,4277.592,3.6666666666666665,1.1333333333333333
239000,3.0,1,1072.0,77011,1926.0,5000.688,3.6666666666666665,0.7666666666666666
420000,3.0,3,2122.0,77020,2022.0,2482.92,4.0,0.5666666666666667
368000,3.0,3,2081.0,77020,2021.0,2500.344,4.0,0.5
369000,3.0,3,1745.0,77020,2022.0,2500.344,4.0,0.5
450000,3.0,2,1256.0,77003,1950.0,5000.688,3.6666666666666665,1.6333333333333335
675000,3.0,3,2514.0,77006,2022.0,2547.0,999.0,999.0
249000,3.0,3,1650.0,77029,2022.0,5000.688,5.666666666666667,1.5333333333333334
440000,3.0,2,3421.0,77023,1954.0,6917.328,3.333333333333333,1.1666666666666667
245000,2.0,1,1168.0,77011,1940.0,5000.688,4.0,0.8333333333333334
499999,5.0,3,3128.0,77011,1960.0,6499.152,3.6666666666666665,0.6666666666666666
385000,3.0,3,1595.0,77020,2022.0,2400.0,4.0,0.5
395000,2.0,1,1048.0,77009,1940.0,7000.092,5.0,0.6
325000,3.0,2,1178.0,77026,1930.0,5000.688,3.333333333333333,0.9666666666666665
500000,3.0,2,1174.0,77026,1940.0,7501.032,3.333333333333333,0.9666666666666668
245000,3.0,1,1220.0,77088,1948.0,15751.295999999998,999.0,999.0
600000,8.0,4,6204.0,77088,1977.0,52703.244,3.333333333333333,0.3666666666666667
375000,4.0,3,1908.0,77088,2022.0,4550.0,3.333333333333333,0.3999999999999999
250000,3.0,2,1315.0,77088,2017.0,9517.86,2.6666666666666665,0.8666666666666666
239980,3.0,2,1620.0,77088,2017.0,10201.752,2.6666666666666665,1.0
260000,2.0,1,756.0,77004,1950.0,4142.556,3.0,1.4
455000,3.0,4,1984.0,77004,2023.0,2250.0,3.0,1.5333333333333332
690000,6.0,6,4971.0,77006,1908.0,7000.092,999.0,999.0
825000,3.0,2,1807.0,77019,1930.0,5000.688,6.0,0.6666666666666666
800000,2.0,2,952.0,77020,1940.0,6499.152,3.333333333333333,1.2333333333333334
235000,3.0,2,1200.0,77020,1948.0,5000.688,3.333333333333333,1.0
669900,3.0,3,2514.0,77004,2022.0,3125.0,999.0,999.0
265000,2.0,1,820.0,77004,1930.0,3990.096,3.0,1.3
394999,3.0,4,1573.0,77004,2022.0,2984.0,3.0,1.3
414900,3.0,4,1730.0,77004,2022.0,2250.0,3.0,1.3666666666666665
308990,4.0,3,1462.0,77004,1936.0,3998.808,3.0,1.1
484900,3.0,4,2104.0,77004,2022.0,1398.276,3.0,1.4333333333333336
419900,3.0,4,1737.0,77004,2022.0,1995.0,3.0,1.0
499999,3.0,4,2492.0,77004,1938.0,5039.892,3.0,1.0666666666666669
288000,2.0,1,660.0,77004,1930.0,2500.344,3.0,1.1333333333333335
210000,3.0,1,1360.0,77004,1949.0,6250.86,3.0,1.4
425000,3.0,4,1980.0,77008,2014.0,1751.112,5.0,0.7333333333333334
400000,3.0,1,1352.0,77008,1931.0,3402.036,5.0,0.7666666666666666
839000,3.0,3,2528.0,77008,2022.0,3275.0,5.0,0.5333333333333333
660000,3.0,3,3156.0,77008,2007.0,3275.712,4.0,1.2
665000,2.0,1,1165.0,77008,1940.0,6599.34,6.0,0.3333333333333333
850000,3.0,4,2171.0,77008,1920.0,4996.332,4.666666666666667,0.4666666666666666
715000,3.0,2,1868.0,77008,1930.0,6600.0,4.666666666666667,0.5333333333333333
550000,3.0,1,1488.0,77008,1930.0,6599.34,4.666666666666667,0.5666666666666668
765000,3.0,2,2051.0,77008,1920.0,4356.0,5.0,0.8000000000000002
481000,2.0,3,2484.0,77008,1920.0,2739.924,6.333333333333333,0.5333333333333333
675000,2.0,1,1170.0,77007,1936.0,7583.796,5.0,0.9333333333333332
750000,0.0,0,1600.0,77007,1970.0,6534.0,6.333333333333333,0.6333333333333333
799000,3.0,3,2267.0,77007,1995.0,6599.34,6.333333333333333,0.6
549000,3.0,4,2133.0,77018,2023.0,3339.0,3.333333333333333,1.1
560000,3.0,4,2200.0,77018,2022.0,3001.284,4.0,0.5
399900,2.0,1,1075.0,77018,1997.0,9374.112,4.0,0.5
350000,3.0,3,1710.0,77022,2012.0,5998.212,3.333333333333333,1.1666666666666663
250000,3.0,1,1038.0,77022,1952.0,4800.312,3.333333333333333,1.2333333333333332
435000,3.0,3,1942.0,77022,2022.0,3841.992,3.333333333333333,1.2333333333333332
470000,3.0,3,2011.0,77022,2021.0,3998.808,3.333333333333333,1.3
525000,3.0,4,2836.0,77018,2015.0,2596.176,4.0,0.5666666666666668
547000,3.0,3,2309.0,77018,2022.0,2596.176,4.0,0.5666666666666668
279000,2.0,1,480.0,77009,1945.0,5501.628,4.0,0.4666666666666666
359900,3.0,2,1450.0,77009,1950.0,5501.628,4.0,0.5666666666666667
325000,2.0,1,720.0,77009,1940.0,4726.26,4.0,0.7000000000000001
415000,3.0,2,1313.0,77009,2022.0,5501.628,4.0,0.7666666666666666
225000,2.0,2,616.0,77009,1949.0,5501.628,4.0,0.7999999999999999
398000,5.0,2,1391.0,77009,1935.0,5501.628,4.0,1.0
595000,4.0,4,3256.0,77009,1945.0,10998.9,4.333333333333333,1.0333333333333332
399000,3.0,2,1836.0,77009,1938.0,5501.628,4.333333333333333,1.0333333333333332
339900,4.0,3,2208.0,77004,1920.0,3001.284,999.0,999.0
399000,3.0,4,2194.0,77007,2007.0,1718.0,6.333333333333333,1.4666666666666668
225000,2.0,1,910.0,77007,1920.0,3201.66,6.333333333333333,1.5
489000,3.0,4,2130.0,77004,2023.0,5000.688,3.0,1.5333333333333332
450000,2.0,1,1120.0,77004,1940.0,10001.376,3.0,1.4666666666666668
350000,3.0,2,1250.0,77004,1936.0,5000.688,3.0,1.4333333333333331
250000,3.0,2,1427.0,77004,1930.0,5000.688,3.0,1.2666666666666666
250000,2.0,1,1106.0,77004,1930.0,5000.688,3.0,1.3
375000,3.0,3,1675.0,77011,2022.0,2146.0,3.6666666666666665,0.6333333333333333
375000,3.0,3,1675.0,77011,2022.0,1914.0,3.6666666666666665,0.6333333333333333
660000,3.0,4,2225.0,77007,2019.0,1807.74,6.333333333333333,1.6
200000,2.0,1,648.0,77022,1940.0,5998.212,4.0,0.6666666666666666
206000,2.0,2,1032.0,77009,1935.0,4408.272,4.0,0.2333333333333333
