Page,Item,zid,State,City,Address,Lat,Lng,Price,Image,Bedrooms,Bathrooms,lotArea,constructedArea,zipCode,CountyId,taxRate,hasGarage,hasPool,hasCooling,hasView,yearBuilt,stories,parkingSpaces,annualHOI,annualHOA,Zone,schoolElemRating,schoolElemDist,schoolMidRating,schoolMidDist,schoolHighRating,schoolHighDist,priceIncreased,priceDiff,days
5,1,337096172,TX,Houston,"5703 Pampero Ln, Houston, TX 77092",29.849318,-95.49195,420000,https://photos.zillowstatic.com/fp/52f63e0cd190cf0dd881d2e62f8e44b5-p_e.jpg,3,3,,2240,77092,1090,2.29,1,0,1,0,2022,2,2,1764,"$1,100 annually",,6,0.7,5,2.3,4,4.5,0,0,0
5,2,80519128,TX,Houston,"18330 Langsbury Dr, Houston, TX 77084",29.829678,-95.68475,269900,https://photos.zillowstatic.com/fp/0283fd46ce037a0878f0039215b4bf4e-p_e.jpg,4,3,10576.368,3331,77084,1090,2.29,1,1,1,0,2005,1,2,1764,"$1,100 annually",,6,0.7,6,1.3,6,1.6,1,150100,5128
5,3,2077957372,TX,Houston,"Groveton Plan, Avondale On Main Street",29.671312,-95.430786,395990,https://photos.zillowstatic.com/fp/7def45d1716fb6886dc2aa847816c37f-p_e.jpg,3,3,,2191,77025,1090,2.29,0,0,0,0,2022,,2,1768,,,4,0.7,6,2.0,2,2.6,1,25000,388
5,4,2078233534,TX,Houston,"Sienna Plan, Avondale On Main Street",29.671312,-95.430786,366990,https://photos.zillowstatic.com/fp/a959e2e12499f5a5cc115c413db8ede5-p_e.jpg,3,3,,2122,77025,1090,2.29,0,0,0,0,2022,,2,1768,,,4,0.7,6,2.0,2,2.6,1,54000,770
5,5,2062115178,TX,Houston,"4102 Oak Iron Ln, Houston, TX 77092",,,421700,https://photos.zillowstatic.com/fp/31a49613423a05b1b50576cc3295ae9b-p_e.jpg,3,3,,1855,77092,1090,2.29,1,0,1,0,2022,3,2,1771,$975 annually,,2,0.6,2,0.8,2,0.2,0,0,0
5,6,2065689812,TX,Houston,"Glenbrook Plan, Kingwood-Royal Brook : Fairway Collection",30.0865,-95.188,51000,https://photos.zillowstatic.com/fp/a74b191932eadb1a83eb31465f982504-p_e.jpg,3,2,,2517,77365,1090,2.29,0,0,0,0,2022,,2,1772,,,7,1.9,8,2.6,7,2.6,1,370990,84
5,7,2061130084,TX,Houston,"9808 Grassy Hollow Dr, Houston, TX 77080",,,422440,https://photos.zillowstatic.com/fp/c4e9363d3ca72d1a5b6099310896dad4-p_e.jpg,3,3,,2052,77080,1090,2.29,1,0,1,0,2022,2,0,1774,$995 annually,,3,0.2,3,0.8,2,0.5,0,0,54
5,8,2062257380,TX,Houston,"4122 Peaceful Ln, Houston, TX 77016",29.885845,-95.285965,411405,https://photos.zillowstatic.com/fp/9c510c8b317d80d92d689cde7ec3f0de-p_e.jpg,3,3,,1942,77016,1090,2.29,1,0,1,0,2022,2,2,1774,$995 annually,,2,1.1,4,2.3,2,1.7,1,11035,129
5,9,28550432,TX,Houston,"5918 Pebble Bank Ln, Houston, TX 77041",29.85686,-95.60017,214900,https://photos.zillowstatic.com/fp/40729fc4e41a58523fa0e1635bbf9e25-p_e.jpg,4,3,8646.66,2866,77041,1090,2.29,1,0,1,0,1998,2,1,1775,$550 annually,,5,0.5,5,2.1,5,2.2,1,207600,3567
5,10,2079103054,TX,Houston,"2011 Kirby Landing Dr, Houston, TX 77051",29.64173,-95.39837,306990,https://photos.zillowstatic.com/fp/5ec442660feabe24042f2e3b5d1981af-p_e.jpg,3,4,2000,1947,77051,1090,2.29,1,0,1,0,2022,3,2,1776,"$1,200 annually",,3,1.6,3,2.8,3,2.2,1,115857,577
